R2---epoch:0 error:543.9633771056657 min_mae:543.9633771056657 min_epoch:0
R2---epoch:1 error:447.09046254716407 min_mae:447.09046254716407 min_epoch:1
R2---epoch:2 error:384.3249924811688 min_mae:384.3249924811688 min_epoch:2
R2---epoch:3 error:933.900018782406 min_mae:384.3249924811688 min_epoch:2
R2---epoch:4 error:332.0473167015301 min_mae:332.0473167015301 min_epoch:4
R2---epoch:5 error:461.78268352707664 min_mae:332.0473167015301 min_epoch:4
R2---epoch:6 error:323.18083403169453 min_mae:323.18083403169453 min_epoch:6
R2---epoch:7 error:470.19957900964295 min_mae:323.18083403169453 min_epoch:6
R2---epoch:8 error:523.3058709017523 min_mae:323.18083403169453 min_epoch:6
R2---epoch:9 error:318.2317826129742 min_mae:318.2317826129742 min_epoch:9
R2---epoch:10 error:569.7403384695996 min_mae:318.2317826129742 min_epoch:9
R2---epoch:11 error:315.91169701778625 min_mae:315.91169701778625 min_epoch:11
R2---epoch:12 error:643.193859721278 min_mae:315.91169701778625 min_epoch:11
R2---epoch:13 error:352.6117484811898 min_mae:315.91169701778625 min_epoch:11
R2---epoch:14 error:493.81943840115935 min_mae:315.91169701778625 min_epoch:11
R2---epoch:15 error:512.9227257763946 min_mae:315.91169701778625 min_epoch:11
R2---epoch:16 error:414.74525990672817 min_mae:315.91169701778625 min_epoch:11
R2---epoch:17 error:380.0376323154503 min_mae:315.91169701778625 min_epoch:11
R2---epoch:18 error:362.2661561107897 min_mae:315.91169701778625 min_epoch:11
R2---epoch:19 error:620.9967267080978 min_mae:315.91169701778625 min_epoch:11
R2---epoch:20 error:463.767106377489 min_mae:315.91169701778625 min_epoch:11
R2---epoch:21 error:455.17695787958394 min_mae:315.91169701778625 min_epoch:11
R2---epoch:22 error:377.5591094300642 min_mae:315.91169701778625 min_epoch:11
R2---epoch:23 error:418.92460770168145 min_mae:315.91169701778625 min_epoch:11
R2---epoch:24 error:330.35647529576505 min_mae:315.91169701778625 min_epoch:11
R2---epoch:25 error:412.04552090593745 min_mae:315.91169701778625 min_epoch:11
R2---epoch:26 error:507.18756716067975 min_mae:315.91169701778625 min_epoch:11
R2---epoch:27 error:346.8059299850202 min_mae:315.91169701778625 min_epoch:11
R2---epoch:28 error:608.2370671662655 min_mae:315.91169701778625 min_epoch:11
R2---epoch:29 error:673.0445095439861 min_mae:315.91169701778625 min_epoch:11
R2---epoch:30 error:529.0248458683491 min_mae:315.91169701778625 min_epoch:11
