R3---epoch:80 error:509.3975813856328 min_mae:283.6473600650104 min_epoch:78
R3---epoch:81 error:450.6771667383529 min_mae:283.6473600650104 min_epoch:78
R3---epoch:82 error:344.6781063125684 min_mae:283.6473600650104 min_epoch:78
R3---epoch:83 error:591.9845986891088 min_mae:283.6473600650104 min_epoch:78
R3---epoch:84 error:330.8971655676653 min_mae:283.6473600650104 min_epoch:78
R3---epoch:85 error:450.0939807772309 min_mae:283.6473600650104 min_epoch:78
R3---epoch:86 error:1010.128008045993 min_mae:283.6473600650104 min_epoch:78
R3---epoch:87 error:990.7981219920483 min_mae:283.6473600650104 min_epoch:78
R3---epoch:88 error:638.6015984348871 min_mae:283.6473600650104 min_epoch:78
R3---epoch:89 error:534.4064514411019 min_mae:283.6473600650104 min_epoch:78
R3---epoch:90 error:299.02271176891014 min_mae:283.6473600650104 min_epoch:78
R3---epoch:91 error:556.5081165148007 min_mae:283.6473600650104 min_epoch:78
R3---epoch:92 error:530.5835850635073 min_mae:283.6473600650104 min_epoch:78
R3---epoch:93 error:491.4514902129278 min_mae:283.6473600650104 min_epoch:78
R3---epoch:94 error:327.26174152110303 min_mae:283.6473600650104 min_epoch:78
R3---epoch:95 error:338.81098144771636 min_mae:283.6473600650104 min_epoch:78
R3---epoch:96 error:519.1694934548258 min_mae:283.6473600650104 min_epoch:78
R3---epoch:97 error:458.6567003265187 min_mae:283.6473600650104 min_epoch:78
R3---epoch:98 error:293.0537891894743 min_mae:283.6473600650104 min_epoch:78
R3---epoch:99 error:720.5475348368451 min_mae:283.6473600650104 min_epoch:78
